"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","miR"
"miR-25-3p",0.169433177389276,9.64578617890252,1.16263392368809,0.280919956903676,0.785799742148314,0.244415060156384,"N.S.","miR-25-3p"
"miR-329-5p",-0.173311275360421,7.58804706732552,1.15347063863791,0.282823800235629,0.785799742148314,-0.250009392762991,"N.S.","miR-329-5p"
"miR-1198-5p",-0.169070661141222,9.05956785352705,1.15217746449242,0.283093793568716,0.785799742148314,-0.243892113989989,"N.S.","miR-1198-5p"
"miR-431-5p",0.189912980173677,5.50906895448975,1.12609152897364,0.288610560899165,0.793716614528833,0.273958106604954,"N.S.","miR-431-5p"
"miR-1843a-5p",-0.165280273161379,10.8521320344271,1.12172639252527,0.289547020479613,0.793716614528833,-0.238424307032791,"N.S.","miR-1843a-5p"
"miR-107-3p",0.173581472929027,6.80117311992788,1.10299164389564,0.293610499736694,0.793716614528833,0.250399165037834,"N.S.","miR-107-3p"
"miR-338-5p",-0.163401125975963,10.8298860129557,1.09681049288349,0.294967134811683,0.793716614528833,-0.235713551799116,"N.S.","miR-338-5p"
"miR-346-5p",-0.204856013973018,4.70443812233895,1.09663401556234,0.29500598565316,0.793716614528833,-0.295514112112622,"N.S.","miR-346-5p"
"miR-338-3p",-0.163277880446191,9.13819101475886,1.0739213796922,0.300061375898733,0.793716614528833,-0.235535764520158,"N.S.","miR-338-3p"
"miR-379-5p",-0.161075750681945,12.1462041844247,1.07069854895417,0.300787713452677,0.793716614528833,-0.23235909223499,"N.S.","miR-379-5p"
"miR-744-5p",-0.160507449750884,11.2434392441431,1.05803210540101,0.303664445531134,0.793716614528833,-0.231539292309188,"N.S.","miR-744-5p"
"miR-341-3p",-0.162698847944669,8.78718185406544,1.05756798106266,0.303770528157484,0.793716614528833,-0.23470048381615,"N.S.","miR-341-3p"
"miR-300-3p",-0.160734400315026,10.6417492972658,1.05602283885177,0.304124039144702,0.793716614528833,-0.231866678814251,"N.S.","miR-300-3p"
"miR-3102-3p",0.292394262648698,2.79130540159674,1.05216495489365,0.30500900470977,0.793716614528833,0.42179201497514,"N.S.","miR-3102-3p"
"miR-92b-3p",-0.160692958295755,8.33317097754608,1.02104445242098,0.312271390164052,0.805239933031834,-0.231806896817661,"N.S.","miR-92b-3p"
"miR-671-5p",0.233356128159933,3.66894773034344,1.01800045746962,0.312993776217508,0.805239933031834,0.336626822331439,"N.S.","miR-671-5p"
"miR-1947-5p",-0.287771742115896,2.71439010570197,1.00324764180925,0.316525947607253,0.805239933031834,-0.415123818984793,"N.S.","miR-1947-5p"
"miR-30e-3p",-0.156839084058439,9.29404428057942,0.994805642436704,0.318570663178256,0.805239933031834,-0.226247508048219,"N.S.","miR-30e-3p"
"miR-133a-3p",-0.23631639548759,3.61047776235948,0.978276654053985,0.322624643172788,0.805239933031834,-0.340897142513808,"N.S.","miR-133a-3p"
"miR-127-5p",-0.160693165267225,7.37806740641807,0.977883504251269,0.32272189405166,0.805239933031834,-0.231807195383414,"N.S.","miR-127-5p"
"miR-873a-5p",0.19098120612708,4.76550453292329,0.975115860904871,0.323407603508839,0.805239933031834,0.27549907110013,"N.S.","miR-873a-5p"
"miR-214-5p",-0.202026986163489,4.5561063423233,0.974733428606903,0.323502505846851,0.805239933031834,-0.291433110900791,"N.S.","miR-214-5p"
"miR-362-5p",0.226612026731576,3.68185961028021,0.960296692119764,0.327112137746769,0.809823562637947,0.326898149460448,"N.S.","miR-362-5p"
"miR-3068-3p",0.222841485841646,3.69982835737725,0.940120158904751,0.332246941778427,0.810301154264376,0.321458972832621,"N.S.","miR-3068-3p"
"miR-672-5p",-0.163416707049817,6.35193478553505,0.935980395901199,0.333313729391444,0.810301154264376,-0.235736028206405,"N.S.","miR-672-5p"
"miR-124-5p",-0.257266639484308,3.02869617261321,0.933421814348131,0.333975344449031,0.810301154264376,-0.371118821795569,"N.S.","miR-124-5p"
"miR-1839-3p",0.246334320908004,3.18824636236265,0.930467500965348,0.334741474708056,0.810301154264376,0.355348455308627,"N.S.","miR-1839-3p"
"miR-350-5p",-0.256987687972211,2.9745281563377,0.918931699502925,0.337755629510648,0.810301154264376,-0.37071642155932,"N.S.","miR-350-5p"
"miR-7a-5p",-0.148961351218978,15.287455138756,0.913780113700568,0.339113428765023,0.810301154264376,-0.214883520336243,"N.S.","miR-7a-5p"
"miR-369-3p",0.157905249641895,6.79086637243682,0.911602570660342,0.339689566853188,0.810301154264376,0.22778550036609,"N.S.","miR-369-3p"
"miR-148b-5p",-0.208223893078047,3.93654346561888,0.897487767058239,0.34345622743609,0.81229855714549,-0.300372430812293,"N.S.","miR-148b-5p"
"miR-363-5p",0.20594596015523,3.98028031426992,0.895192486920565,0.344074061323635,0.81229855714549,0.297086409025171,"N.S.","miR-363-5p"
"miR-486b-5p",0.148244046416544,8.55910425179813,0.875391170506251,0.349467115644679,0.820799687001349,0.213848775552849,"N.S.","miR-486b-5p"
"miR-30a-3p",-0.145134546209804,9.81714718005393,0.855921973439592,0.354882420339346,0.822129577205813,-0.209363180158859,"N.S.","miR-30a-3p"
"miR-210-3p",0.18396490497196,4.55307435025162,0.853722015807977,0.355501525556946,0.822129577205813,0.265377737750145,"N.S.","miR-210-3p"
"miR-382-3p",-0.145824612565801,8.5755690649913,0.848403148738065,0.357004472056047,0.822129577205813,-0.210358632245112,"N.S.","miR-382-3p"
"miR-690",-0.192079002178881,4.25598760326903,0.847038562352473,0.357391466281349,0.822129577205813,-0.277082691806385,"N.S.","miR-690"
"miR-32-3p",-0.215963602713301,3.5573226410995,0.839889212338242,0.359428458065837,0.822129577205813,-0.311537313778204,"N.S.","miR-32-3p"
"miR-700-5p",0.184467970825737,4.53368699670557,0.835094270511352,0.360803591743163,0.822129577205813,0.266103433111633,"N.S.","miR-700-5p"
"miR-708-3p",-0.153517498370727,6.38078067667248,0.823007685222866,0.364302254453493,0.824397495241054,-0.221455969707346,"N.S.","miR-708-3p"
"miR-665-3p",-0.263270066999958,2.65119821126145,0.815641157605484,0.366457679084979,0.824397495241054,-0.379779038879329,"N.S.","miR-665-3p"
"miR-3099-3p",0.169748611648867,4.98316810335946,0.808607632254487,0.368532225070616,0.824397495241054,0.244870088414257,"N.S.","miR-3099-3p"
"miR-136-3p",-0.142464887476801,8.51184835866681,0.80703307661862,0.368998878874271,0.824397495241054,-0.205512076084213,"N.S.","miR-136-3p"
"miR-330-5p",-0.139305307629499,10.4438598970892,0.788438773765228,0.374572623867393,0.830084856995173,-0.200954238532286,"N.S.","miR-330-5p"
"miR-340-3p",-0.141967809725444,7.83310583642778,0.783120597553677,0.376188446083223,0.830084856995173,-0.204795018832661,"N.S.","miR-340-3p"
"miR-19b-3p",0.173891976999978,4.62893689688573,0.780521254256438,0.376981769115712,0.830084856995173,0.250847081274486,"N.S.","miR-19b-3p"
"miR-499-5p",0.198791451289364,3.76898130819146,0.774045701118482,0.378968384875396,0.830466604176705,0.286765704770051,"N.S.","miR-499-5p"
"miR-486a-5p",0.137058662334656,8.4843438482548,0.746842346560051,0.387477807697363,0.845070647263772,0.197713350570729,"N.S.","miR-486a-5p"
