"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"mmu-miR-541-3p",0.118555118748423,1.98064124754324,0.152976715687827,0.695706779230075,0.858097005816837,0.171021147848562,"N.S.","mmu-miR-541-3p"
"mmu-miR-450b-5p",0.139014611188478,1.43405694604235,0.150280442593027,0.698267501284074,0.858097005816837,0.200534895702184,"N.S.","mmu-miR-450b-5p"
"mmu-miR-125b-2-3p",-0.0609440845861291,7.06962478981584,0.150046460720517,0.698490962734905,0.858097005816837,-0.0879146122962178,"N.S.","mmu-miR-125b-2-3p"
"mmu-miR-3102-3p",-0.0916895497366826,2.90722194878957,0.145996168003006,0.702391309031428,0.860773663028711,-0.132266343344993,"N.S.","mmu-miR-3102-3p"
"mmu-miR-379-5p",0.0571518736549703,11.8371136624825,0.142107142667072,0.706195148699723,0.863319252689148,0.0824441756488819,"N.S.","mmu-miR-379-5p"
"mmu-let-7f-5p",0.0560377427090282,16.1975112093043,0.136921264998932,0.711361079885724,0.865560501520712,0.0808369911153069,"N.S.","mmu-let-7f-5p"
"mmu-miR-669c-5p",-0.0590692239673922,6.42279587358228,0.13522899009633,0.713070880892117,0.865560501520712,-0.0852100406298281,"N.S.","mmu-miR-669c-5p"
"mmu-miR-425-5p",0.0584861671285076,6.67971908929554,0.135080139299884,0.713221853253067,0.865560501520712,0.0843689546362442,"N.S.","mmu-miR-425-5p"
"mmu-miR-363-5p",-0.0816440991710594,3.15413467110717,0.129014410376969,0.719456128493235,0.871012262098348,-0.117775324277023,"N.S.","mmu-miR-363-5p"
"mmu-miR-23b-3p",0.0536918422159102,10.1635458125382,0.123723819077412,0.725030283302243,0.875640438770824,0.0774529230184843,"N.S.","mmu-miR-23b-3p"
"mmu-miR-34a-5p",-0.0529303226150874,8.47712510318137,0.118296157690239,0.730889841358811,0.877107497971604,-0.0763543963785821,"N.S.","mmu-miR-34a-5p"
"mmu-miR-690",-0.0565673961888976,6.00524170226802,0.118227896301498,0.730964483185308,0.877107497971604,-0.0816010403360029,"N.S.","mmu-miR-690"
"mmu-miR-700-3p",-0.0565591298537757,5.85517254406885,0.117731819996656,0.731507653308318,0.877107497971604,-0.0815891157718339,"N.S.","mmu-miR-700-3p"
"mmu-miR-455-3p",0.0535817170060629,6.93212324123821,0.114513414843413,0.735063049038147,0.879262020380559,0.0772940623974162,"N.S.","mmu-miR-455-3p"
"mmu-miR-466i-5p",0.0741165223892217,3.19012135033977,0.107112184345851,0.74345613416702,0.881018514392341,0.106916452594899,"N.S.","mmu-miR-466i-5p"
"mmu-miR-99b-5p",-0.0494304303455155,12.4750781118733,0.106469635356973,0.744199770060173,0.881018514392341,-0.0713056426882531,"N.S.","mmu-miR-99b-5p"
"mmu-miR-141-3p",0.0640865898593314,4.34625765760427,0.106143006450566,0.744578736849192,0.881018514392341,0.0924478189988629,"N.S.","mmu-miR-141-3p"
"mmu-miR-672-5p",-0.0517559473705359,6.67708053977306,0.10513414937925,0.745753338586868,0.881018514392341,-0.0746603067057919,"N.S.","mmu-miR-672-5p"
"mmu-miR-378b",0.0653088373778665,3.80386071372458,0.104497417264579,0.746497888055434,0.881018514392341,0.0942109666029617,"N.S.","mmu-miR-378b"
"mmu-miR-328-3p",-0.0488193697079434,12.2405959835733,0.103628446442215,0.747518055048948,0.881018514392341,-0.0704241599421187,"N.S.","mmu-miR-328-3p"
"mmu-miR-6911-3p",-0.104960385628952,1.7097917143961,0.102055190486967,0.749377126854733,0.881018514392341,-0.151410127360105,"N.S.","mmu-miR-6911-3p"
"mmu-miR-7685-5p",0.0857502812387229,2.40597001586749,0.10100427742598,0.750627774262274,0.881018514392341,0.123698678560672,"N.S.","mmu-miR-7685-5p"
"mmu-miR-219a-1-3p",0.0826617116490432,2.41173639145504,0.0942673108565746,0.758820674023535,0.888190245840207,0.119243276533214,"N.S.","mmu-miR-219a-1-3p"
"mmu-miR-301a-3p",-0.104590055878672,1.56476637668165,0.0930219962060743,0.760369902775639,0.888190245840207,-0.150875909861578,"N.S.","mmu-miR-301a-3p"
"mmu-miR-6540-5p",0.0495838992459513,5.95162301349902,0.091283830402066,0.762551331967499,0.888190245840207,0.0715270285532304,"N.S.","mmu-miR-6540-5p"
"mmu-miR-497a-5p",0.0513813643209715,5.08265381921483,0.0872851229123537,0.767657354954244,0.888190245840207,0.0741199536297085,"N.S.","mmu-miR-497a-5p"
"mmu-miR-3084-3p",-0.0965044096166949,1.72687746275139,0.0868745433833675,0.76818877720977,0.888190245840207,-0.139211997586688,"N.S.","mmu-miR-3084-3p"
"mmu-miR-3473a",-0.0748573883847048,2.59795144419568,0.0837605038088096,0.772264529326086,0.888190245840207,-0.107985185470266,"N.S.","mmu-miR-3473a"
"mmu-miR-31-5p",0.0502759089314459,5.02048468967689,0.0827041899376759,0.773665682504309,0.888190245840207,0.0725252839806215,"N.S.","mmu-miR-31-5p"
"mmu-miR-139-5p",-0.0432657285849038,10.0850753034275,0.0807697032780013,0.776257030155209,0.888190245840207,-0.0624127801752383,"N.S.","mmu-miR-139-5p"
"mmu-miR-667-3p",-0.0488977482062436,5.14120400976612,0.0801404635674174,0.777107149151526,0.888190245840207,-0.0705372244886981,"N.S.","mmu-miR-667-3p"
"mmu-miR-486a-5p",-0.0435193589222311,9.94750911498369,0.0797365105747758,0.777654801402864,0.888190245840207,-0.0627786534658803,"N.S.","mmu-miR-486a-5p"
"mmu-miR-126a-3p",0.0426991327283022,14.0509958153222,0.079478516813424,0.778005356138535,0.888190245840207,0.0615954398968497,"N.S.","mmu-miR-126a-3p"
"mmu-miR-362-5p",0.0623624918172203,3.29173398461865,0.079442270827375,0.778054655356021,0.888190245840207,0.0899607292023353,"N.S.","mmu-miR-362-5p"
"mmu-miR-374b-5p",0.043085346734261,7.0742522339559,0.0749020400001967,0.78432872686458,0.891421530902876,0.0621525711562296,"N.S.","mmu-miR-374b-5p"
"mmu-miR-144-3p",-0.0462575856438981,5.69042851323588,0.0736969875629185,0.786028116027914,0.891421530902876,-0.0667286699810071,"N.S.","mmu-miR-144-3p"
"mmu-miR-421-3p",-0.0507638768375782,4.39082190435686,0.073551853938572,0.786233790256337,0.891421530902876,-0.0732291998663377,"N.S.","mmu-miR-421-3p"
"mmu-miR-99b-3p",-0.0416941874506661,7.14950553072494,0.0705195974093438,0.790581744118258,0.893850911733381,-0.0601457606529613,"N.S.","mmu-miR-99b-3p"
"mmu-miR-3081-3p",0.0574761033053783,3.37199590873216,0.0695782034622883,0.791951907795775,0.893850911733381,0.0829118916578125,"N.S.","mmu-miR-3081-3p"
"mmu-miR-30e-5p",-0.0392020279442036,11.3450926541697,0.0668054914477949,0.796046064171367,0.896448270463251,-0.056550707281024,"N.S.","mmu-miR-30e-5p"
"mmu-miR-674-5p",-0.048277463980041,4.28749906087519,0.0651011202066769,0.798607856236021,0.897264865237692,-0.0696424362966956,"N.S.","mmu-miR-674-5p"
"mmu-miR-101b-3p",-0.038721465385551,8.84153020892412,0.0639487428244099,0.800360259792021,0.897264865237692,-0.0558574739456654,"N.S.","mmu-miR-101b-3p"
"mmu-miR-145a-3p",-0.0387850053636894,7.73899027766973,0.0623036436888498,0.802891301367019,0.898088703989954,-0.05594913325241,"N.S.","mmu-miR-145a-3p"
"mmu-miR-148b-3p",0.0366097526818065,8.98567033818894,0.0572908525975198,0.810830261471742,0.904944488249712,0.052811232380279,"N.S.","mmu-miR-148b-3p"
"mmu-miR-15b-5p",-0.0427685310045062,4.48513841925591,0.0533814674852984,0.817280388317736,0.910111790999706,-0.0616955500648492,"N.S.","mmu-miR-15b-5p"
"mmu-miR-185-3p",-0.0454439076030235,3.84485515800986,0.0509793436600496,0.821367821762887,0.912630913069875,-0.0655549024204107,"N.S.","mmu-miR-185-3p"
"mmu-miR-744-3p",-0.0602619392770692,2.17072264110237,0.0438250718554407,0.834179404477366,0.922201146464237,-0.0869305866802299,"N.S.","mmu-miR-744-3p"
"mmu-miR-494-3p",-0.0377485801441795,4.46445230469202,0.0417887575891651,0.838022968464474,0.922201146464237,-0.0544540427614131,"N.S.","mmu-miR-494-3p"
"mmu-miR-467c-5p",-0.0626616978740482,1.94395508715097,0.0417401841008314,0.83811583021092,0.922201146464237,-0.0903923475400516,"N.S.","mmu-miR-467c-5p"
"mmu-miR-434-5p",0.0307748272197282,12.8418205130701,0.0412832009359363,0.838992250833622,0.922201146464237,0.0443940871682448,"N.S.","mmu-miR-434-5p"
"mmu-miR-411-5p",-0.030761820943757,11.0151746310739,0.0409450748923632,0.839643978588436,0.922201146464237,-0.0443753250239417,"N.S.","mmu-miR-411-5p"
"mmu-let-7a-1-3p",0.031432259218891,6.78072952462294,0.0392815880852049,0.842891847868313,0.922201146464237,0.0453424627113354,"N.S.","mmu-let-7a-1-3p"
"mmu-let-7c-2-3p",0.031432259218891,6.78072952462294,0.0392815880852049,0.842891847868313,0.922201146464237,0.0453424627113354,"N.S.","mmu-let-7c-2-3p"
"mmu-miR-140-3p",0.0291764158688724,9.31646388357692,0.0364665409879947,0.848555250905491,0.926370361250536,0.0420883061370805,"N.S.","mmu-miR-140-3p"
"mmu-miR-541-5p",-0.0276577515801245,11.6811795881899,0.0332710356347548,0.855266081813486,0.929534002738207,-0.0398975638679978,"N.S.","mmu-miR-541-5p"
"mmu-miR-671-3p",0.028627895129956,7.12344997625882,0.033190734650735,0.855438921736568,0.929534002738207,0.0412970400375773,"N.S.","mmu-miR-671-3p"
"mmu-miR-134-3p",0.0429361928448304,2.90054656294129,0.0320901330922343,0.857829980343366,0.929534002738207,0.0619374098907713,"N.S.","mmu-miR-134-3p"
"mmu-miR-98-5p",-0.0268796154284475,10.9506819922967,0.0312925993299658,0.85958918250272,0.929534002738207,-0.038775067098165,"N.S.","mmu-miR-98-5p"
"mmu-miR-376b-3p",0.0302141073805205,5.20180166885198,0.0307726854374568,0.86074848653558,0.929534002738207,0.0435852233120475,"N.S.","mmu-miR-376b-3p"
"mmu-miR-25-5p",-0.0382095527743718,3.04147264178222,0.0269232141276348,0.869665844669394,0.935498868625665,-0.0551190167344858,"N.S.","mmu-miR-25-5p"
"mmu-miR-30b-5p",0.0255720457899316,7.40043584466922,0.0267783014672389,0.870013947821869,0.935498868625665,0.0368888384575825,"N.S.","mmu-miR-30b-5p"
"mmu-miR-379-3p",-0.0246593449566508,7.12209467771275,0.0246197028433459,0.875318403696318,0.938657755365868,-0.0355722260177498,"N.S.","mmu-miR-379-3p"
"mmu-miR-22-5p",-0.0235549161478827,8.29342458608823,0.023420215623279,0.878369374772801,0.938657755365868,-0.0339790372580697,"N.S.","mmu-miR-22-5p"
"mmu-miR-431-5p",0.0273158593990359,4.81191676986262,0.0233371222261862,0.878583659022453,0.938657755365868,0.0394043688556907,"N.S.","mmu-miR-431-5p"
"mmu-miR-16-5p",0.0219263569236434,9.35065233185574,0.0206499755259841,0.885736586662132,0.944282075332763,0.0316297665491448,"N.S.","mmu-miR-16-5p"
"mmu-miR-29a-3p",-0.0198226368696145,12.4696162219062,0.0171216580865359,0.895894163423655,0.948746632013623,-0.0285950547442879,"N.S.","mmu-miR-29a-3p"
"mmu-miR-195a-5p",-0.0202267835974351,7.60579830489381,0.0169277559470729,0.896482001557579,0.948746632013623,-0.0291780547701054,"N.S.","mmu-miR-195a-5p"
"mmu-miR-380-3p",-0.0209093348947247,6.38190785250386,0.0168839764365831,0.896615197588425,0.948746632013623,-0.0301626660425691,"N.S.","mmu-miR-380-3p"
"mmu-miR-879-5p",-0.0293750008104812,3.13758424179901,0.016589958152929,0.897514313884888,0.948746632013623,-0.0423747739422493,"N.S.","mmu-miR-879-5p"
"mmu-miR-6899-3p",0.0263116058953929,3.0845959926836,0.0131040307133574,0.908862976719538,0.951587888098807,0.0379556875272325,"N.S.","mmu-miR-6899-3p"
"mmu-miR-412-5p",-0.0198351890291222,4.77003966189755,0.0122388090984407,0.911910430044369,0.951587888098807,-0.0286131618049499,"N.S.","mmu-miR-412-5p"
"mmu-miR-324-5p",0.0358219675199819,1.64660655288259,0.0115163422974183,0.914539701974352,0.951587888098807,0.0516748164747018,"N.S.","mmu-miR-324-5p"
"mmu-let-7f-1-3p",-0.0255943814740034,2.88691394207271,0.0113911355358751,0.915003766846534,0.951587888098807,-0.0369210586971495,"N.S.","mmu-let-7f-1-3p"
"mmu-miR-1843b-3p",0.0164817165182885,7.58508023859473,0.0111923194128121,0.915745988712454,0.951587888098807,0.0237756252722729,"N.S.","mmu-miR-1843b-3p"
"mmu-miR-152-3p",0.0157923156450932,8.73276814576958,0.0105271143314063,0.918279072329011,0.951587888098807,0.02278113317521,"N.S.","mmu-miR-152-3p"
"mmu-miR-361-5p",0.0167440405966939,6.04027486237221,0.0105083480382522,0.918351690227388,0.951587888098807,0.0241540396796037,"N.S.","mmu-miR-361-5p"
