"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","miR"
"miR-106b-3p",-0.243964230362317,6.64966515948292,5.19799276762158,0.0226129857460607,0.281697924655251,-0.351929491961388,"N.S.","miR-106b-3p"
"miR-6948-3p",-0.712831344839506,1.90401485533729,5.18781510629599,0.0227457951584986,0.281697924655251,-1.02829161746766,"N.S.","miR-6948-3p"
"miR-200a-5p",-0.392890602274551,3.8072932235776,4.98568440169839,0.0255578734795717,0.308611322265829,-0.56676255305763,"N.S.","miR-200a-5p"
"miR-1955-5p",-0.800004028710387,1.49764050398223,4.73775590708398,0.0295075374220272,0.340917289247346,-1.15404217648211,"N.S.","miR-1955-5p"
"miR-106b-5p",-0.313880761240887,4.57814624428452,4.72976231701385,0.0296449816736822,0.340917289247346,-0.452787265886915,"N.S.","miR-106b-5p"
"miR-496a-3p",0.320185374165033,4.2809776034286,4.36068627401097,0.0367774865473638,0.413105255869226,0.461881956613145,"N.S.","miR-496a-3p"
"miR-1298-5p",0.312286527594713,4.21818194900746,4.06988916794454,0.0436541385445818,0.461533778728525,0.450487511384656,"N.S.","miR-1298-5p"
"miR-365-3p",-0.310107791477991,4.26484933083497,4.0637579636289,0.0438128941091033,0.461533778728525,-0.447344585499427,"N.S.","miR-365-3p"
"miR-145a-5p",0.21433460048123,6.70359901657921,4.02861085345796,0.0447347614863231,0.461533778728525,0.309187404010344,"N.S.","miR-145a-5p"
"miR-673-5p",-0.255349402003852,5.23942249002585,4.01824319553145,0.0450105761816757,0.461533778728525,-0.368353119579863,"N.S.","miR-673-5p"
"miR-3081-3p",-0.371496483152605,3.50469811760138,3.98648288853694,0.0458667109295428,0.461533778728525,-0.535900563730891,"N.S.","miR-3081-3p"
"miR-29a-5p",0.604835991455394,1.91893020772354,3.93892815123407,0.0471808300399026,0.465068181821898,0.872503411162926,"N.S.","miR-29a-5p"
"miR-494-3p",0.285688202558271,4.47792091149603,3.78468545084491,0.0517236313027531,0.493058487683832,0.412118218463325,"N.S.","miR-494-3p"
"miR-96-3p",-0.625043099831903,1.82591756964656,3.77377285820694,0.0520620763392866,0.493058487683832,-0.901653083532485,"N.S.","miR-96-3p"
"miR-3473e",0.56694354041477,2.01050562511178,3.71096711116756,0.0540560617569497,0.502097650550129,0.817841828093581,"N.S.","miR-3473e"
"miR-3102-5p.2-5p",-0.372660017364142,3.32028520276296,3.59246986043495,0.0580419186837895,0.51386640671723,-0.537579014720766,"N.S.","miR-3102-5p.2-5p"
"miR-200a-3p",-0.205212141709746,8.04770624671738,3.57645552190024,0.0586040696136934,0.51386640671723,-0.296027842561031,"N.S.","miR-200a-3p"
"let-7b-3p",-0.248427065217193,5.0466928193689,3.56774264831741,0.0589123450249365,0.51386640671723,-0.358367334102638,"N.S.","let-7b-3p"
"miR-124-3p",0.184012516321,8.07337045196734,3.51158423472638,0.0609411556298371,0.51386640671723,0.265446419285362,"N.S.","miR-124-3p"
"miR-195a-3p",-0.197181735485646,6.74273808244183,3.46496810053413,0.0626817165812426,0.51386640671723,-0.284443616551777,"N.S.","miR-195a-3p"
"miR-30b-5p",0.188637114172413,7.393638104216,3.46371659474234,0.0627291691971615,0.51386640671723,0.272117611902232,"N.S.","miR-30b-5p"
"miR-450b-5p",-0.626246739752079,1.69190865908782,3.45310923827225,0.0631329028170418,0.51386640671723,-0.903389388830122,"N.S.","miR-450b-5p"
"miR-380-5p",-0.235907851483576,5.21219069045036,3.41327412919718,0.0646740074872681,0.51386640671723,-0.340307799217197,"N.S.","miR-380-5p"
"miR-132-5p",0.194172357680223,6.82134642923996,3.40470243898514,0.0650108384381027,0.51386640671723,0.280102452272859,"N.S.","miR-132-5p"
"miR-3963",0.336655463989814,3.55928875750635,3.35494688295323,0.0670033723997911,0.51386640671723,0.485640809851529,"N.S.","miR-3963"
"miR-219a-5p",0.538779604836583,2.06881876195835,3.35438966232692,0.0670260530500735,0.51386640671723,0.777214070799225,"N.S.","miR-219a-5p"
"miR-322-5p",0.370273391012285,3.14503377172121,3.30501598336934,0.0690686734867385,0.52125264522023,0.534136197721475,"N.S.","miR-322-5p"
"miR-669a-5p",0.330438620632286,3.5371806284448,3.22677713492877,0.0724431259589911,0.530151967245344,0.476672730714808,"N.S.","miR-669a-5p"
"miR-669p-5p",0.330438620632286,3.5371806284448,3.22677713492877,0.0724431259589911,0.530151967245344,0.476672730714808,"N.S.","miR-669p-5p"
"miR-503-3p",-0.232452831840506,5.07174082822478,3.1437811138767,0.0762169266524334,0.548732345125316,-0.335323776330333,"N.S.","miR-503-3p"
"miR-378a-5p",0.240843981246776,4.84295362379284,3.12174013381007,0.0772542432060487,0.548732345125316,0.347428390777848,"N.S.","miR-378a-5p"
"miR-362-5p",-0.366938053098379,3.09824282591971,3.0649715959222,0.0799965605907639,0.559975924135348,-0.529324821169193,"N.S.","miR-362-5p"
"miR-350-5p",-0.397850760969152,2.75779481430151,2.95117440747398,0.0858151755577721,0.592124711348628,-0.573917807444087,"N.S.","miR-350-5p"
"miR-3473a",-0.460339611505642,2.27089839073893,2.8234349561873,0.0928974064325661,0.631964046576471,-0.664060814842745,"N.S.","miR-3473a"
"miR-466i-5p",0.369277853350851,2.90670802786889,2.78640759944341,0.0950671305236063,0.637698989222381,0.532700089391591,"N.S.","miR-466i-5p"
"miR-25-3p",-0.154893586699052,10.2274554210907,2.73455903875923,0.0981986032338111,0.637698989222381,-0.22344103967257,"N.S.","miR-25-3p"
"miR-204-5p",-0.151873082150046,12.5741379571365,2.69005994158931,0.100976015429944,0.637698989222381,-0.219083824560256,"N.S.","miR-204-5p"
"miR-146b-3p",-0.397923368513412,2.5972269744797,2.67599551089908,0.10187160599435,0.637698989222381,-0.574022547127138,"N.S.","miR-146b-3p"
"miR-27a-5p",0.192420843419447,5.71927144689465,2.6592494891403,0.102949299882542,0.637698989222381,0.277575813334673,"N.S.","miR-27a-5p"
"miR-491-5p",-0.34460928682304,3.0539418090306,2.65558804311502,0.103186591109749,0.637698989222381,-0.497114560838265,"N.S.","miR-491-5p"
"miR-664-3p",-0.26368693654945,4.02819798522347,2.64198296038652,0.104073569872637,0.637698989222381,-0.380380392153737,"N.S.","miR-664-3p"
"miR-1968-5p",-0.587749159628563,1.49905708984426,2.63848853119583,0.104302733226849,0.637698989222381,-0.847854879551894,"N.S.","miR-1968-5p"
"miR-6945-3p",0.494919679666778,1.88456152204755,2.53028151699734,0.111680289867729,0.674269750076415,0.713944135040404,"N.S.","miR-6945-3p"
