,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-21-REVI2ERPB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tRF-21-RK9P4P9L0,7,1,1,3,3,0,0,4,1,6,3,3,4,2,1,1,3,4,0,1,1,4,0,3
tRF-21-RKIP4OI3B,1,3,1,1,5,2,2,1,0,0,2,1,1,0,1,0,3,6,4,1,3,3,0,0
tRF-21-RNLIK8980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-RNLNK88K0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-RNLNKSEK0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tRF-21-RP9830MME,0,5,0,2,6,0,1,6,2,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1
tRF-21-RPM8309ME,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1
tRF-21-RPM830MME,13,5,4,4,15,3,3,8,3,6,2,7,0,2,9,3,2,13,3,0,6,6,0,3
tRF-21-RX6N38Z9B,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0
tRF-21-RX6NMH49B,2,0,0,0,1,0,1,1,4,0,0,2,0,0,1,0,0,0,1,1,0,2,0,1
tRF-21-RX8HWVZ5B,1,0,1,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,1,0,1,0
tRF-21-RXPIN2NYB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-RZ81JJ6R0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tRF-21-S2I7L7P50,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,1
tRF-21-S3M8309NB,13,14,4,4,23,11,9,7,6,10,6,12,6,4,9,10,18,8,7,6,7,13,1,3
tRF-21-S5R8309NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-S8V0J8O9E,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-S998LO9D0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
