Trfs,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-23-BSDEL87SR,5.08,10.4,5.66,23.29,27.92,19.12,14.01,11.69,15.05,12.44,20.84,9.27,1.32,8.82,17.29,5.92,2.57,35.89,6.31,13.46,1.45,1.64,11.64,32.7,-0.0291835426264275,0.8923227150990825
tRF-23-DRFU8U767,76.16,15.61,16.97,46.57,125.62,28.68,70.05,35.07,5.02,46.67,20.84,27.8,6.62,15.44,46.12,23.69,38.54,143.56,25.25,148.07,14.48,8.21,11.64,185.28,0.06716974834244197,0.75515532648221
tRF-23-FSXMSL730H,30.47,7.8,5.66,23.29,27.92,47.79,24.52,15.58,0.0,31.11,12.5,13.9,4.63,0.0,28.82,13.82,2.57,7.18,6.31,13.46,13.03,4.92,46.56,10.9,0.14531989930135186,0.4980730290401033
tRF-23-JOWU1MN005,15.23,13.0,14.14,0.0,27.92,19.12,3.5,0.0,20.07,12.44,12.5,9.27,3.97,4.41,23.06,11.84,2.57,35.89,18.94,13.46,7.24,8.21,23.28,43.59,0.25452556496507106,0.23004542040840661
tRF-23-MBQ4NKKQR,25.39,36.41,19.79,163.0,41.87,57.35,7.0,42.86,5.02,46.67,33.35,55.6,7.94,13.24,74.94,17.77,35.97,136.38,31.57,107.69,21.72,11.49,62.09,65.39,-0.09632482756493269,0.654336795799253
tRF-23-MNH5SYNXD1,55.85,2.6,11.31,93.14,97.71,100.37,49.03,50.65,20.07,59.11,79.2,46.34,17.87,13.24,28.82,33.56,41.1,14.36,25.25,13.46,34.75,45.95,15.52,43.59,-0.0350910174517642,0.8706895695430363
tRF-23-PS5P4PW3X,35.54,5.2,5.66,69.86,55.83,9.56,3.5,7.79,15.05,12.44,16.67,0.0,0.66,4.41,11.53,9.87,12.85,21.53,0.0,26.92,20.27,21.34,7.76,21.8,0.03965037531904744,0.8540537267006463
tRF-23-R29P4P9LDS,106.63,41.61,36.76,81.5,181.45,143.38,66.55,101.3,65.23,133.77,75.03,46.34,18.53,30.88,34.59,106.6,154.14,122.02,18.94,53.84,112.94,26.26,23.28,43.59,-0.1817596589048288,0.3953165554878196
tRF-23-RKIP4OI3X,101.55,15.61,8.48,46.57,223.33,62.13,52.54,31.17,25.09,62.22,37.51,32.44,9.26,17.65,40.35,23.69,48.81,50.24,18.94,67.3,18.82,34.46,27.16,54.49,-0.06981525261652327,0.7458162827012893
tRF-23-RX6NMH49V,30.47,20.81,14.14,69.86,55.83,23.9,17.51,27.27,15.05,21.78,12.5,18.53,1.99,4.41,23.06,7.9,15.41,43.07,12.63,67.3,10.14,18.05,3.88,10.9,-0.28146698764951983,0.18272352259904331
tRF-23-S3M8309NS,512.84,109.24,65.04,221.21,474.57,286.77,105.07,175.33,70.24,161.77,125.04,139.01,19.19,68.39,219.06,71.07,210.66,380.42,63.13,228.84,79.64,119.81,81.49,163.48,-0.18584193336212917,0.38460467388477726
tRF-23-WP9N1EWJDW,86.32,28.61,5.66,81.5,0.0,14.34,14.01,42.86,125.43,9.33,16.67,41.7,9.93,28.68,11.53,19.74,12.85,21.53,18.94,26.92,20.27,19.69,27.16,21.8,-0.14651653472007672,0.49450268319096213
tRF-23-XSXMSL730H,40.62,33.81,45.25,58.21,27.92,71.69,59.54,42.86,55.19,59.11,50.02,27.8,27.79,35.3,40.35,45.4,35.97,78.96,56.82,40.38,33.3,29.54,93.13,98.09,0.32903426655009105,0.11642388091211793
tRF-23-Y2PPEVNK0Q,55.85,23.41,33.93,337.63,195.41,133.82,70.05,42.86,40.14,59.11,104.2,69.51,5.96,8.82,213.29,31.59,25.69,28.71,82.07,282.68,26.06,1.64,77.61,217.97,-0.03670987261181134,0.864776349787024
tRF-23-YDLBRY730K,10.16,5.2,11.31,46.57,13.96,19.12,14.01,3.9,30.1,15.56,12.5,9.27,3.31,6.62,23.06,1.97,12.85,0.0,18.94,40.38,7.24,0.0,7.76,21.8,-0.20079520505394458,0.346802791939699
tRF-23-YU8R6Q46D2,106.63,122.24,11.31,58.21,83.75,76.47,77.05,70.13,70.24,77.78,95.87,97.31,8.6,26.47,121.06,21.72,354.53,258.4,18.94,121.15,40.54,47.59,38.8,54.49,-0.2577831739120642,0.22393070480320199
tRF-23-Z5EFOK8YDZ,10.16,7.8,2.83,58.21,27.92,23.9,14.01,15.58,5.02,9.33,8.34,50.97,3.97,11.03,5.76,3.95,7.71,14.36,25.25,26.92,8.69,21.34,11.64,10.9,-0.08488641367963617,0.693307933359418
tRF-23-Z87HFK8SDZ,25.39,13.0,2.83,11.64,97.71,28.68,38.53,27.27,5.02,21.78,45.85,32.44,3.97,13.24,28.82,3.95,12.85,57.42,0.0,26.92,14.48,32.82,27.16,65.39,0.23020720235370667,0.27916668230878494
tRF-23-ZKXU53K80E,10.16,5.2,14.14,34.93,69.79,4.78,35.02,27.27,10.03,9.33,4.17,46.34,5.29,13.24,28.82,7.9,15.41,21.53,12.63,0.0,8.69,50.88,23.28,0.0,0.09616409367528547,0.6548786834079316
tRF-24-3JVIJMRPEU,30.47,26.01,39.59,128.07,13.96,66.91,56.04,11.69,15.05,40.44,66.69,32.44,12.57,33.09,57.65,27.64,38.54,14.36,25.25,80.77,27.51,132.94,58.2,87.19,0.3894891859921036,0.05992974747576496
tRF-24-79MP9P9MF2,40.62,18.21,8.48,58.21,97.71,14.34,7.0,19.48,15.05,12.44,33.35,13.9,4.63,0.0,5.76,19.74,12.85,21.53,6.31,0.0,5.79,6.56,11.64,76.29,0.10404079553820997,0.6285271550103942
tRF-24-7SHRMFWRE2,594.09,72.82,33.93,0.0,97.71,57.35,42.03,31.17,40.14,149.33,54.19,69.51,9.26,13.24,86.47,33.56,298.01,272.76,44.19,53.84,44.89,24.62,65.97,32.7,-0.20576896949330967,0.33473517865842495
tRF-24-9MVH7P59H4,111.71,20.81,31.11,128.07,181.45,23.9,38.53,54.55,10.03,71.55,45.85,55.6,17.2,22.06,28.82,55.27,35.97,0.0,18.94,53.84,34.75,60.72,54.32,43.59,0.01698248583492597,0.9372228190856173
tRF-24-9N1EWJQ7FV,238.65,104.03,76.35,244.49,251.24,148.16,87.56,151.95,145.5,199.1,195.9,152.91,23.82,101.47,161.41,102.65,56.52,150.73,94.7,148.07,60.81,128.01,124.17,239.77,-0.01018491546041611,0.9623274334283145
tRF-24-DRFU8U76ED,30.47,13.0,19.79,81.5,55.83,14.34,7.0,15.58,45.16,18.67,16.67,13.9,5.29,8.82,51.88,7.9,43.67,107.67,12.63,53.84,0.0,8.21,3.88,43.59,-0.2659368465845568,0.2091028364790208
tRF-24-FSXMSL732Z,10.16,31.21,36.76,23.29,69.79,81.25,38.53,11.69,60.21,31.11,29.18,18.53,17.87,37.5,40.35,37.51,20.55,35.89,25.25,148.07,24.61,18.05,34.92,32.7,-0.14450912061992652,0.5004993378081457
tRF-24-MBQ4NKKQ0V,96.48,57.22,25.45,197.92,41.87,86.03,28.02,101.3,25.09,102.66,16.67,60.24,11.91,22.06,57.65,17.77,64.23,86.13,12.63,349.98,17.38,32.82,31.04,87.19,-0.17287631384868923,0.41919686881084584
tRF-24-MN1E8Y7ZFV,60.93,15.61,33.93,93.14,167.49,47.79,17.51,89.61,10.03,62.22,25.01,18.53,7.28,17.65,28.82,41.46,23.12,71.78,31.57,67.3,23.17,44.31,34.92,10.9,-0.13421606674966316,0.5318003778822634
tRF-24-PS5P4PW3ES,66.01,5.2,8.48,34.93,13.96,47.79,14.01,19.48,15.05,46.67,12.5,18.53,5.96,2.21,46.12,37.51,35.97,35.89,6.31,13.46,28.96,29.54,15.52,32.7,0.05089071371966013,0.8133116151279298
tRF-24-R29P4P9LH9,680.41,88.43,229.05,302.71,530.4,540.08,175.12,229.87,531.84,454.21,295.94,231.69,75.44,132.36,305.53,1370.02,696.21,681.89,183.08,161.53,1388.56,254.38,217.3,207.07,0.12814185121246707,0.550694003663872
tRF-24-RK9P4P9LH9,162.49,52.02,39.59,128.07,209.37,100.37,98.07,81.82,100.35,80.89,129.21,64.87,13.9,35.3,161.41,57.25,113.04,258.4,113.63,94.23,52.13,14.77,58.2,119.88,-0.26556812911845395,0.20975871649126063
tRF-24-S3M8309N0Y,330.05,80.63,59.38,128.07,474.57,272.43,80.56,136.36,225.78,205.33,125.04,97.31,12.57,39.71,115.29,73.04,154.14,172.27,37.88,134.61,60.81,132.94,62.09,152.58,-0.11494787448896059,0.5927578840803569
tRF-24-XSXMSL732Z,198.03,163.85,169.67,232.85,502.48,468.38,245.17,198.7,240.83,479.09,204.24,203.88,95.29,163.24,155.65,205.31,146.44,229.69,119.95,605.74,178.09,70.57,325.95,435.94,0.04385576436537987,0.8387625764054927
tRF-24-YKISQI451V,35.54,5.2,14.14,46.57,13.96,9.56,3.5,23.38,5.02,6.22,16.67,23.17,1.32,19.85,0.0,15.79,7.71,43.07,0.0,13.46,4.34,3.28,15.52,10.9,-0.21662405171962298,0.30928573670422066
tRF-25-3JVIJMRPFQ,25.39,33.81,48.07,256.14,111.66,81.25,45.53,23.38,35.12,121.33,91.7,32.44,21.18,24.27,63.41,33.56,38.54,50.24,75.76,80.77,26.06,167.4,69.85,228.87,0.3429279155615776,0.10090203286437874
tRF-25-7343RX6NMH,25.39,5.2,11.31,0.0,27.92,19.12,10.51,3.9,20.07,6.22,20.84,37.07,12.57,11.03,0.0,3.95,7.71,0.0,12.63,0.0,5.79,13.13,11.64,0.0,-0.13941105973059384,0.5158880066147233
tRF-25-73V2Y8L981,40.62,20.81,16.97,11.64,41.87,28.68,10.51,11.69,0.0,21.78,20.84,4.63,3.31,11.03,17.29,13.82,5.14,7.18,6.31,40.38,10.14,19.69,11.64,21.8,0.002583522397087659,0.9904408230463525
tRF-25-7P596VW631,86.32,26.01,28.28,23.29,97.71,19.12,10.51,31.17,5.02,34.22,29.18,4.63,9.93,17.65,11.53,27.64,20.55,14.36,6.31,13.46,27.51,29.54,11.64,43.59,0.0730264568763091,0.7345268356546077
tRF-25-86J8WPMN1E,10.16,13.0,16.97,11.64,13.96,33.46,0.0,0.0,15.05,12.44,25.01,9.27,1.99,8.82,11.53,41.46,17.98,21.53,0.0,40.38,17.38,19.69,7.76,43.59,0.187953202602425,0.37913015484568424
tRF-25-9LON4VN1EH,66.01,15.61,22.62,46.57,181.45,52.57,21.01,23.38,15.05,34.22,50.02,13.9,11.25,19.85,46.12,25.66,12.85,64.6,50.5,121.15,15.93,39.39,27.16,21.8,-0.14428279327353663,0.5011776761752076
tRF-25-9N1EWJQ72S,15.23,10.4,31.11,81.5,55.83,57.35,21.01,38.96,0.0,31.11,29.18,27.8,11.25,8.82,40.35,45.4,28.26,14.36,31.57,53.84,15.93,8.21,31.04,43.59,-0.09905073867392125,0.6451728173280545
tRF-25-MBQ4NKKQBR,81.24,54.62,48.07,139.71,293.12,133.82,38.53,214.29,95.33,59.11,79.2,97.31,23.16,52.94,98.0,47.38,107.9,251.22,50.5,323.06,92.67,67.29,85.37,174.38,-0.006463367482955392,0.9760879776201635
tRF-25-MN1E8Y7Z2R,30.47,28.61,19.79,93.14,83.75,33.46,28.02,46.75,10.03,31.11,16.67,18.53,7.28,24.27,28.82,31.59,10.28,64.6,31.57,26.92,11.58,22.98,7.76,21.8,-0.2566834207705195,0.22598279424159462
tRF-25-PS5P4PW3FJ,218.34,7.8,28.28,11.64,27.92,81.25,49.03,27.27,90.31,71.55,50.02,9.27,14.56,8.82,69.18,309.93,59.09,7.18,44.19,80.77,180.99,49.24,23.28,54.49,0.06055266891353257,0.7786582396008416
tRF-25-RKIP4OI3FJ,60.93,5.2,16.97,0.0,41.87,14.34,21.01,31.17,30.1,24.89,20.84,13.9,5.96,6.62,40.35,9.87,43.67,43.07,6.31,40.38,18.82,11.49,7.76,21.8,-0.20387999546730157,0.3392883235953316
tRF-25-RXPIN24YDR,55.85,15.61,16.97,69.86,27.92,52.57,14.01,15.58,10.03,56.0,70.86,32.44,5.96,6.62,34.59,25.66,25.69,78.96,18.94,26.92,27.51,24.62,50.44,32.7,-0.01166077322761784,0.9568730775615113
tRF-25-SP58309MUK,25.39,18.21,22.62,34.93,139.58,66.91,21.01,70.13,40.14,46.67,0.0,27.8,4.63,17.65,40.35,9.87,23.12,50.24,6.31,40.38,15.93,18.05,15.52,32.7,-0.10802087843949955,0.6153748104407514
tRF-25-U1O0789NLJ,126.94,23.41,28.28,81.5,83.75,4.78,31.52,23.38,50.17,93.33,20.84,13.9,6.62,11.03,57.65,5.92,17.98,50.24,6.31,26.92,14.48,14.77,11.64,76.29,-0.11146684609743396,0.6040793739844883
tRF-25-WP9N1EWJQ7,60.93,20.81,14.14,34.93,27.92,19.12,7.0,19.48,80.28,28.0,12.5,37.07,9.93,13.24,17.29,1.97,28.26,21.53,12.63,40.38,2.9,16.41,19.4,0.0,-0.3565991597127149,0.08717956123391597
tRF-25-XSXMSL73VL,25.39,5.2,25.45,34.93,97.71,47.79,42.03,23.38,30.1,46.67,12.5,13.9,12.57,28.68,11.53,23.69,30.83,43.07,31.57,26.92,18.82,8.21,11.64,21.8,-0.23694694099077312,0.2649365337808328
tRF-26-18YKISQI45D,20.31,10.4,2.83,23.29,41.87,4.78,3.5,7.79,15.05,15.56,16.67,23.17,5.29,13.24,11.53,9.87,5.14,0.0,25.25,13.46,5.79,9.85,19.4,21.8,0.03366247435203679,0.8759132331358694
tRF-26-3JVIJMRPFQ0,60.93,18.21,31.11,69.86,181.45,90.81,35.02,27.27,20.07,71.55,112.54,18.53,15.88,30.88,17.29,39.48,56.52,35.89,44.19,67.3,31.85,80.42,27.16,43.59,-0.01689307274857381,0.9375527119308991
tRF-26-86J8WPMN1EE,101.55,67.62,152.7,221.21,418.74,329.78,143.6,229.87,361.25,167.99,83.36,74.14,93.3,141.18,207.53,140.16,169.56,122.02,113.63,188.45,121.63,200.22,112.53,207.07,0.0064346479987335,0.9761941994901795
tRF-26-86V8WPMN1EE,91.4,80.63,169.67,69.86,279.16,172.06,122.59,253.25,275.95,211.55,79.2,46.34,97.94,105.89,230.59,136.21,118.18,157.91,145.2,242.3,111.49,160.84,131.93,87.19,-0.12486283022332038,0.5610191870119121
tRF-26-9MV47P596VE,76.16,20.81,28.28,104.78,55.83,52.57,63.04,70.13,80.28,65.33,112.54,37.07,19.19,48.53,63.41,47.38,35.97,71.78,56.82,53.84,36.2,67.29,31.04,108.99,0.03926597093105447,0.8554540851333254
tRF-26-9N1EWJQ72SD,45.7,18.21,48.07,93.14,139.58,105.15,38.53,54.55,40.14,68.44,62.52,32.44,13.9,30.88,46.12,57.25,41.1,21.53,44.19,40.38,36.2,65.65,62.09,43.59,0.06798833893745475,0.7522619488566131
tRF-26-9NF5W8E7OMD,76.16,23.41,2.83,34.93,195.41,66.91,31.52,81.82,15.05,52.89,33.35,32.44,11.25,11.03,51.88,53.3,15.41,35.89,44.19,40.38,37.65,29.54,54.32,21.8,-0.014746198858687436,0.9454765538100512
tRF-26-I3VF4YO9XED,15.23,0.0,0.0,46.57,13.96,19.12,7.0,11.69,10.03,15.56,8.34,0.0,3.31,6.62,17.29,17.77,5.14,0.0,18.94,13.46,4.34,11.49,7.76,21.8,0.0035293589215453502,0.986941426826438
tRF-26-MBQ4NKKQBRB,20.31,23.41,11.31,81.5,111.66,14.34,21.01,15.58,25.09,43.55,12.5,18.53,1.99,28.68,23.06,11.84,15.41,57.42,18.94,53.84,18.82,9.85,15.52,54.49,-0.06531727649462929,0.7617147963332698
tRF-26-MI7O3B1NR8E,20.31,5.2,5.66,34.93,13.96,14.34,3.5,19.48,5.02,6.22,16.67,37.07,3.31,8.82,17.29,9.87,5.14,7.18,31.57,40.38,8.69,31.18,19.4,21.8,0.14309238513777306,0.5047529553718377
tRF-26-PS5P4PW3FJB,10.16,10.4,0.0,0.0,0.0,57.35,0.0,15.58,30.1,12.44,0.0,0.0,5.96,2.21,5.76,84.89,38.54,21.53,0.0,40.38,50.68,16.41,11.64,43.59,0.23805528412776877,0.26264175762440756
tRF-26-PSQP4PW3FJB,20.31,0.0,25.45,58.21,0.0,9.56,21.01,15.58,45.16,24.89,12.5,4.63,3.97,4.41,0.0,33.56,33.4,7.18,0.0,0.0,46.33,24.62,19.4,54.49,0.4024438114357901,0.05121666117996885
tRF-26-R29P4P9L5HD,15.23,2.6,8.48,0.0,0.0,38.24,7.0,11.69,15.05,9.33,16.67,18.53,13.9,17.65,0.0,80.94,33.4,7.18,25.25,13.46,53.57,9.85,11.64,21.8,0.1514763369929881,0.4798412131623041
tRF-26-R8WP9N1EWJ0,40.62,7.8,11.31,0.0,0.0,4.78,10.51,0.0,0.0,21.78,33.35,50.97,38.38,57.36,28.82,13.82,23.12,21.53,18.94,0.0,14.48,19.69,38.8,0.0,-0.06993792310658958,0.7453840669113518
tRF-26-RX6NMH490VD,35.54,10.4,19.79,128.07,41.87,19.12,21.01,62.34,5.02,31.11,50.02,13.9,9.26,8.82,46.12,47.38,12.85,35.89,12.63,26.92,7.24,42.67,50.44,43.59,0.06723064457655445,0.7549399730527258
tRF-26-W3FJIKE7UMD,35.54,7.8,2.83,23.29,13.96,0.0,31.52,15.58,25.09,15.56,4.17,23.17,1.32,4.41,57.65,9.87,10.28,7.18,12.63,26.92,11.58,8.21,0.0,0.0,-0.31902218508522545,0.1286431551871522
tRF-26-YDLBRY73W0D,20.31,10.4,2.83,34.93,41.87,4.78,17.51,15.58,20.07,6.22,8.34,9.27,2.65,4.41,28.82,9.87,5.14,7.18,12.63,67.3,10.14,14.77,7.76,21.8,-0.061591796540895666,0.7749543521411814
tRF-27-3JVIJMRPFQL,30.47,2.6,5.66,58.21,41.87,43.01,14.01,3.9,30.1,62.22,37.51,0.0,6.62,8.82,11.53,19.74,28.26,28.71,18.94,67.3,13.03,11.49,7.76,10.9,-0.3016400186043097,0.15201267531067397
tRF-27-86J8WPMN1E5,10.16,0.0,22.62,23.29,0.0,19.12,14.01,0.0,35.12,15.56,0.0,4.63,4.63,0.0,28.82,21.72,12.85,21.53,6.31,0.0,21.72,19.69,15.52,10.9,0.15748281834254466,0.4623856388688973
tRF-27-9N1EWJQ72SJ,639.79,234.08,243.19,814.98,642.06,411.03,178.62,522.08,255.89,584.87,529.36,379.97,156.83,216.19,461.18,495.5,267.18,358.89,246.21,726.89,234.56,759.86,516.08,577.63,0.19938301364360805,0.35027545264977655
tRF-27-FSXMSL73VL3,10.16,13.0,14.14,23.29,69.79,14.34,14.01,11.69,30.1,21.78,4.17,9.27,2.65,6.62,28.82,13.82,15.41,7.18,12.63,0.0,7.24,6.56,15.52,21.8,-0.039483744980035596,0.8546606971753978
tRF-27-I3VF4YO9XEJ,20.31,31.21,11.31,34.93,13.96,57.35,3.5,19.48,10.03,40.44,29.18,64.87,9.93,11.03,74.94,11.84,12.85,50.24,18.94,26.92,21.72,42.67,27.16,21.8,-0.001450891605154013,0.9946315383746489
tRF-27-PSQP4PW3FJI,5.08,0.0,8.48,34.93,0.0,33.46,3.5,3.9,140.49,46.67,33.35,13.9,7.94,4.41,11.53,73.04,25.69,0.0,18.94,13.46,47.78,34.46,11.64,10.9,-0.002056491109987673,0.9923908061764959
tRF-27-Q1Q89P9L842,55.85,44.21,56.56,58.21,55.83,234.19,66.55,27.27,55.19,93.33,41.68,13.9,69.48,48.53,80.71,339.54,82.21,78.96,31.57,67.3,202.71,67.29,93.13,21.8,0.10480623703840257,0.6259890298627758
tRF-27-R29P4P9L5H2,15.23,0.0,33.93,11.64,27.92,28.68,31.52,0.0,10.03,24.89,4.17,23.17,31.76,19.85,11.53,96.73,46.24,14.36,0.0,13.46,85.43,21.34,34.92,21.8,0.3049672991844155,0.14732235573638053
tRF-27-R718YKISQI3,15.23,0.0,5.66,11.64,13.96,4.78,0.0,19.48,20.07,21.78,0.0,0.0,3.31,0.0,17.29,7.9,10.28,7.18,12.63,13.46,2.9,13.13,11.64,32.7,0.26232814852685604,0.21558160482095662
tRF-27-V47P596VW6J,10.16,2.6,5.66,11.64,27.92,9.56,7.0,27.27,5.02,28.0,16.67,13.9,3.97,17.65,11.53,13.82,0.0,0.0,12.63,67.3,1.45,9.85,3.88,21.8,-0.1292379056334948,0.5472621904810071
tRF-27-WJ9X0UD394N,30.47,13.0,2.83,23.29,41.87,4.78,31.52,19.48,25.09,12.44,29.18,37.07,3.97,13.24,5.76,25.66,7.71,14.36,31.57,94.23,10.14,54.16,15.52,21.8,0.03567997969778328,0.8685374622862481
tRF-27-XSXMSL73VL3,50.78,44.21,56.56,81.5,167.49,234.19,56.04,66.23,45.16,80.89,91.7,37.07,23.16,50.74,115.29,59.22,79.64,136.38,82.07,201.91,31.85,36.11,58.2,196.17,-0.0036885094954407643,0.9863526244315324
tRF-28-3JVIJMRPFQDS,40.62,15.61,31.11,23.29,139.58,66.91,24.52,23.38,25.09,31.11,87.53,27.8,19.85,26.47,69.18,31.59,12.85,50.24,31.57,53.84,30.41,82.06,31.04,65.39,0.18494144070885948,0.3869532527423619
tRF-28-73V2Y8L981DV,15.23,2.6,8.48,23.29,69.79,9.56,3.5,3.9,15.05,15.56,16.67,13.9,3.97,0.0,0.0,21.72,0.0,14.36,12.63,94.23,1.45,11.49,0.0,0.0,-0.2295687043808063,0.2805393711475392
tRF-28-7EMQ18Y3E7D8,20.31,10.4,8.48,34.93,13.96,23.9,24.52,11.69,10.03,21.78,20.84,0.0,9.93,8.82,5.76,31.59,7.71,7.18,12.63,13.46,15.93,27.9,38.8,10.9,0.34643106339722374,0.09724264027668679
tRF-28-86J8WPMN1E0J,401.14,62.42,695.65,69.86,181.45,745.59,84.06,89.61,291.01,659.53,70.86,64.87,268.66,216.19,207.53,2706.48,1174.05,552.69,170.45,201.91,1711.44,584.26,807.11,196.17,0.22020094221761602,0.30116785693311265
tRF-28-86V8WPMN1E0J,340.2,52.02,540.12,69.86,97.71,348.9,56.04,35.07,200.69,553.76,95.87,37.07,222.34,213.98,126.82,2728.2,1053.3,459.38,208.33,174.99,1463.85,556.36,648.01,174.38,0.1889295601090143,0.3766136180849531
tRF-28-9MV47P596V03,25.39,18.21,5.66,34.93,0.0,28.68,10.51,19.48,35.12,12.44,20.84,13.9,4.63,4.41,5.76,7.9,28.26,28.71,6.31,40.38,5.79,24.62,50.44,0.0,0.048319281348490076,0.8225946735831007
tRF-28-9N1EWJQ72SDK,25.39,15.61,8.48,34.93,55.83,23.9,17.51,35.07,5.02,21.78,20.84,9.27,5.96,11.03,17.29,21.72,15.41,14.36,6.31,13.46,15.93,27.9,3.88,10.9,-0.062300028326331,0.7724326374111622
tRF-28-D8YJE76INB0J,50.78,2.6,11.31,23.29,27.92,9.56,21.01,3.9,15.05,18.67,20.84,18.53,5.96,4.41,5.76,5.92,15.41,43.07,18.94,0.0,5.79,14.77,7.76,0.0,-0.28241440357095426,0.1811922895535692
tRF-28-MIF91SS2P4DX,10.16,0.0,19.79,23.29,69.79,38.24,14.01,0.0,15.05,12.44,4.17,9.27,7.94,6.62,0.0,11.84,7.71,7.18,0.0,0.0,18.82,91.91,19.4,32.7,0.5235168211686203,0.008655301928982485
tRF-28-MIF91SS2P4X,25.39,10.4,14.14,23.29,111.66,23.9,3.5,7.79,10.03,12.44,20.84,13.9,4.63,8.82,23.06,9.87,15.41,21.53,31.57,0.0,15.93,32.82,11.64,0.0,-0.02976185453561489,0.8902013967217945
tRF-28-MUWLV47PU90M,192.95,28.61,73.52,81.5,125.62,109.93,28.02,19.48,120.42,180.44,33.35,41.7,20.51,26.47,80.71,75.02,113.04,50.24,18.94,121.15,55.02,42.67,85.37,98.09,-0.06644939880262485,0.7577041093166088
tRF-28-N3R718YKISD8,30.47,0.0,16.97,0.0,13.96,33.46,3.5,15.58,20.07,28.0,20.84,9.27,11.25,0.0,0.0,19.74,15.41,14.36,25.25,26.92,27.51,8.21,31.04,0.0,0.049476672790113446,0.8184134704578926
tRF-28-P4R8YP9LOND5,1665.47,176.86,2768.45,826.62,1186.42,3804.43,837.08,541.56,2854.88,2159.03,917.0,1000.89,1033.62,886.8,882.0,6771.14,1731.53,861.33,467.17,538.44,3952.83,1380.23,2421.32,741.1,0.13913738798211048,0.516720495965923
tRF-28-PER8YP9LOND5,96.48,10.4,164.01,11.64,41.87,152.94,24.52,19.48,130.45,93.33,95.87,18.53,62.2,61.77,28.82,892.29,120.74,78.96,44.19,26.92,233.12,78.78,186.26,98.09,0.07740803667772919,0.7192088441694675
tRF-28-PIR8YP9LOND5,111.71,20.81,186.64,11.64,27.92,195.96,38.53,11.69,95.33,102.66,95.87,4.63,93.97,50.74,69.18,840.96,166.99,50.24,50.5,53.84,311.3,62.36,244.46,87.19,0.12929937327573193,0.547070023384914
tRF-28-PNR8YO9LOND5,35.54,2.6,48.07,0.0,0.0,28.68,10.51,3.9,20.07,9.33,16.67,13.9,10.59,2.21,5.76,161.88,12.85,21.53,12.63,0.0,37.65,11.49,23.28,0.0,-0.043643755904248724,0.8395321507275348
tRF-28-PS5P4PW3FJDD,71.09,18.21,33.93,23.29,125.62,396.69,63.04,23.38,120.42,68.44,45.85,18.53,21.84,19.85,28.82,57.25,38.54,35.89,44.19,40.38,33.3,47.59,23.28,43.59,-0.06496912226348608,0.7629493798514541
tRF-28-PSQP4PW3FJD0,1513.14,762.05,1122.65,640.34,991.01,4717.3,577.9,674.03,476.65,727.97,1479.7,1010.15,1005.17,882.39,743.65,2980.88,1053.3,588.58,713.37,726.89,1980.76,1019.17,896.35,882.79,0.054332946363385454,0.8009231898317993
tRF-28-R8WP9N1EWJDW,10.16,7.8,11.31,34.93,27.92,0.0,3.5,11.69,25.09,6.22,0.0,18.53,10.59,19.85,11.53,1.97,7.71,35.89,6.31,26.92,4.34,13.13,23.28,0.0,-0.15101567613825403,0.48119359356938546
tRF-28-SRI3SERXPIDP,30.47,10.4,11.31,0.0,13.96,66.91,0.0,0.0,50.17,12.44,4.17,13.9,9.26,0.0,0.0,335.6,149.0,7.18,25.25,0.0,414.11,11.49,38.8,32.7,0.3071658364998214,0.14428017736091567
