Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-34-EH623K7SIR3DIY,81.51,52.43,252.85,217.7,131.67,252.64,181.17,276.85,947.43,692.1,649.93,78.82,483.41,192.93,846.61,183.09,218.79,258.92,120.72,1238.47,62.47,85.39,1107.97,417.94,0.0262612619126276,0.903052668620782
tRF-34-FSXMSL73VL4YHE,179.33,305.81,974.69,838.14,473.5,505.27,567.67,510.75,522.72,277.85,480.38,245.75,416.27,515.97,419.2,316.24,263.83,264.55,611.15,390.02,310.53,315.94,441.04,87.63,-0.2969321634261425,0.15882825962128383
tRF-34-K84J83ML5FX2H3,2.33,69.9,8.16,10.88,7.6,35.09,20.13,4.77,32.67,15.16,9.42,4.64,40.28,13.46,24.66,5.55,45.04,28.14,15.09,0.0,5.51,4.27,53.78,0.0,-0.08530886189680867,0.6918543932268508
tRF-34-KF9MVH7P59N3K5,37.26,0.0,8.16,21.77,10.13,28.07,4.03,14.32,32.67,5.05,18.84,9.27,26.86,13.46,32.88,16.64,19.3,28.14,22.64,27.37,5.51,4.27,43.03,6.74,-0.14803601403458866,0.4899874955521319
tRF-34-KY7343RX6NMHH3,11.64,69.9,57.09,43.54,40.51,105.27,40.26,52.51,147.02,55.57,75.35,60.28,26.86,94.22,106.85,38.84,90.09,73.17,37.73,61.58,45.94,51.23,150.6,20.22,0.019015851302547432,0.9297234508991723
tRF-34-L85DMKYUYRLHIX,11.64,26.21,12.23,21.77,7.6,14.04,24.16,23.87,65.34,35.36,94.19,0.0,40.28,17.95,16.44,33.29,32.17,33.77,22.64,47.9,1.84,17.08,86.06,26.96,0.029076458160334107,0.8927155930027812
tRF-34-LSXMSL73VL4YHE,4.66,17.48,44.86,0.0,15.19,84.21,36.23,9.55,32.67,20.21,18.84,9.27,107.42,22.43,8.22,27.74,38.61,11.26,0.0,20.53,14.7,21.35,53.78,0.0,-0.026527518512724,0.9020743244486389
tRF-34-M2OSRNLNKSEKH9,41.92,61.16,20.39,10.88,22.79,77.19,32.21,33.41,49.01,40.41,37.68,37.09,80.57,35.89,57.54,49.93,32.17,50.66,22.64,54.74,29.4,12.81,64.54,6.74,-0.26507308559419884,0.21064148279102018
tRF-34-P4R8YP9LON4VHM,137.41,96.11,40.78,0.0,78.5,28.07,20.13,453.47,49.01,20.21,47.1,268.93,94.0,49.35,115.07,44.38,90.09,78.8,45.27,27.37,31.24,46.96,96.81,40.45,-0.10159825069169315,0.6366536134676453
tRF-34-PNR8YO9LON4VHJ,151.38,96.11,81.56,87.08,88.62,105.27,120.78,200.48,0.0,60.62,37.68,185.47,53.71,71.79,98.63,77.67,109.39,129.46,75.45,47.9,69.82,51.23,53.78,47.19,-0.2686020864683109,0.20440294418021118
tRF-34-PS5P4PW3FJHPEQ,202.62,61.16,81.56,185.04,116.48,91.23,76.49,171.84,0.0,80.83,75.35,236.47,67.14,53.84,164.39,238.57,128.7,123.83,67.91,61.58,84.52,115.28,43.03,188.75,-0.03497828107571145,0.8711016177967112
tRF-34-PSQP4PW3FJI0E5,6332.36,4622.15,5823.67,4070.97,6613.85,5831.7,5225.8,14114.76,3593.71,4344.6,3315.59,8749.48,3988.13,5235.98,4331.71,4821.27,17097.59,14600.84,2799.24,4385.96,4283.14,9657.5,3205.58,2042.49,-0.14392334714549357,0.5022559223057246
tRF-34-PSQP4PW3FJIKE5,475.1,305.81,415.98,511.59,491.23,484.22,422.73,997.63,163.35,328.37,226.06,598.14,241.7,345.48,320.56,377.27,1235.51,1069.45,188.63,266.85,299.51,738.62,247.41,148.3,-0.126749849619032,0.555066585752113
tRF-34-PW5SVP9N15WV2P,680.05,803.85,367.04,500.71,478.57,400.01,322.08,553.71,849.42,843.66,894.83,969.07,443.13,502.51,756.2,1403.66,752.89,726.1,497.98,663.71,418.94,606.26,720.72,808.91,-0.10899541721787229,0.6121716443112164
tRF-34-Q1Q89P9L8422KJ,456.47,235.91,277.32,195.93,225.36,210.53,281.82,276.85,147.02,252.59,235.48,222.56,228.28,264.72,172.61,238.57,553.4,371.49,203.72,273.7,330.74,473.91,204.38,330.3,0.24505130366078984,0.24845198372865457
tRF-34-QKF1R3WE8RO8IS,6.99,26.21,0.0,0.0,7.6,0.0,16.1,23.87,0.0,20.21,37.68,18.55,13.43,8.97,8.22,16.64,12.87,5.63,15.09,20.53,7.35,8.54,53.78,13.48,0.2308363411128826,0.2778182760482317
tRF-34-R9J89O9NF5W8E5,114.12,87.38,77.49,32.65,108.88,140.35,84.55,205.25,147.02,101.04,94.19,199.38,67.14,35.89,131.51,83.22,289.57,236.41,67.91,143.69,73.5,192.13,43.03,60.67,-0.16549072044526278,0.4396364346191395
tRF-34-R9JP9PMNH5SYHQ,561.27,620.36,530.17,674.87,1119.19,863.18,567.67,1002.4,686.07,535.5,593.42,542.5,899.68,690.95,764.42,1165.09,1042.46,866.82,694.15,581.6,567.78,828.27,763.74,458.38,-0.12687569241227561,0.5546706382247402
tRF-34-RKVP4PRL5FZUHM,293.44,218.44,277.32,185.04,377.28,329.83,120.78,1035.81,179.69,197.02,103.61,570.32,241.7,139.09,205.49,388.36,238.09,388.38,105.63,376.33,192.93,149.43,322.71,74.15,-0.162065292981032,0.4492935589198994
tRF-34-RP9830MMUKLYIE,20.96,34.95,65.25,32.65,108.88,63.16,52.34,42.96,65.34,60.62,84.77,27.82,147.71,107.68,90.42,99.87,64.35,56.29,75.45,54.74,47.77,51.23,53.78,26.96,-0.2707797607316714,0.20061626296341573
tRF-34-RPM8309MUKLYIE,60.55,52.43,93.8,97.96,96.22,21.05,56.36,66.83,98.01,50.52,94.19,69.55,40.28,143.57,82.2,66.58,38.61,90.06,90.54,95.79,67.99,76.85,75.3,94.37,0.013347628081131314,0.9506412485859234
tRF-34-RPM830MMUKLYIE,107.13,166.01,220.22,195.93,293.72,203.51,144.94,167.07,261.36,176.82,282.58,120.55,416.27,309.58,230.15,338.43,231.66,213.89,241.44,246.33,191.1,209.2,118.33,195.49,-0.26777258201982224,0.2058579679546994
tRF-34-SR04SXQ3V2Y72E,23.29,69.9,0.0,43.54,15.19,35.09,24.16,52.51,32.67,25.26,18.84,9.27,80.57,17.95,82.2,49.93,64.35,28.14,52.82,6.84,3.67,8.54,43.03,47.19,-0.17708478448063314,0.407786806131592
tRF-34-VBY9PYKHM26RIZ,9.32,34.95,20.39,32.65,7.6,14.04,4.03,19.09,0.0,15.16,18.84,18.55,13.43,17.95,0.0,0.0,12.87,5.63,45.27,20.53,9.19,38.43,10.76,0.0,-0.058159594917360245,0.7872058407311635
tRF-34-XSXMSL73VL4YHE,754.57,1162.09,2136.98,2296.72,1382.53,2329.87,1711.07,1159.92,2319.58,1172.03,1657.8,737.24,1329.38,1314.6,1660.35,1492.43,1048.89,1097.6,1554.29,1436.9,909.55,1255.22,2108.37,579.72,-0.1832990426406031,0.39125768247827086
tRF-34-YEN0RR13808725,13.97,17.48,4.08,21.77,10.13,0.0,16.1,9.55,0.0,5.05,37.68,0.0,0.0,17.95,16.44,5.55,19.3,0.0,15.09,34.21,0.0,29.89,0.0,26.96,0.04362742347097312,0.8395914421261024
tRF-34-YR94SX73V2Y81W,6.99,17.48,16.31,43.54,15.19,7.02,12.08,23.87,16.34,15.16,9.42,9.27,53.71,35.89,16.44,38.84,32.17,22.51,45.27,13.68,16.54,8.54,0.0,13.48,-0.37782147000572075,0.06871675746426326
tRF-35-1HPSR9O9337KB6,39.59,87.38,32.63,87.08,35.45,49.12,28.18,66.83,114.35,20.21,65.94,51.0,94.0,13.46,82.2,33.29,122.26,129.46,37.73,82.11,25.72,68.31,107.57,26.96,-0.10882809774737659,0.6127211110676352
tRF-35-2VR008R959KUMK,116.45,174.75,110.11,315.66,73.43,119.3,124.81,171.84,179.69,151.56,244.9,227.2,201.42,80.76,180.83,410.56,366.79,292.69,233.9,246.33,69.82,149.43,333.47,195.49,-0.11156213035874364,0.6037682783734216
tRF-35-2VR008R9D9KUMK,6.99,17.48,24.47,10.88,2.53,14.04,12.08,14.32,32.67,10.1,56.52,27.82,80.57,0.0,16.44,33.29,25.74,39.4,15.09,54.74,11.02,8.54,10.76,13.48,-0.3157150587027119,0.1328757706963714
tRF-35-4R94SX73V2Y8L9,44.25,8.74,28.55,21.77,20.26,14.04,4.03,4.77,16.34,5.05,0.0,18.55,40.28,13.46,16.44,16.64,45.04,11.26,15.09,0.0,23.89,4.27,0.0,40.45,-0.029465328600008306,0.8912889994926717
tRF-35-6SXMSL73VL4YMY,22790.89,14914.94,12336.57,14520.52,4722.37,6007.14,9936.27,8100.35,15534.65,15468.79,15240.43,19464.92,7841.98,9825.87,9452.5,14846.62,11415.55,8932.74,10253.82,11248.87,10205.3,10020.41,9089.64,20135.09,-0.059503177070008406,0.7824038207161574
tRF-35-86J8WPMN1E8Y7Z,528.67,541.73,309.94,293.89,270.93,385.97,523.39,453.47,179.69,404.15,405.03,403.39,335.7,332.02,476.73,399.46,424.7,433.41,347.08,383.17,242.55,379.98,419.52,330.3,-0.19328074720787675,0.3655156070294885
tRF-35-86V8WPMN1E8Y7Z,367.97,349.5,199.83,108.85,119.01,252.64,253.64,224.35,130.68,156.61,178.97,273.57,295.42,228.82,205.49,94.32,148.0,219.52,203.72,184.74,147.0,273.25,139.84,155.04,-0.1586331512315139,0.45908067981021883
tRF-35-87R8WP9I1EWJQZ,60.55,157.28,32.63,65.31,75.96,14.04,52.34,152.75,49.01,20.21,18.84,166.92,53.71,13.46,32.88,66.58,38.61,50.66,45.27,6.84,11.02,21.35,32.27,20.22,-0.2927390723472917,0.1650772125670254
tRF-35-87R8WP9N1EWJQ7,75559.76,110992.67,92175.56,74768.69,66097.96,74555.96,95856.0,69294.55,76154.07,89220.85,97263.69,62210.78,83253.88,94781.52,70581.37,52473.61,101356.48,91826.57,74349.61,79652.13,88363.86,101975.9,82559.73,46498.77,-0.0682670573095949,0.7512775313961246
tRF-35-897PVP941QKS3W,202.62,349.5,362.96,283.01,205.1,350.88,193.25,243.44,277.7,358.68,470.97,380.21,241.7,332.02,279.47,393.91,476.18,360.24,226.35,294.22,224.17,375.71,419.52,161.78,-0.13118130599291275,0.5412015954639074
tRF-35-897PVP9N1QKS3W,72.2,52.43,73.41,54.42,35.45,28.07,60.39,57.28,114.35,90.93,37.68,88.1,94.0,62.81,49.32,66.58,57.91,106.95,52.82,54.74,38.59,64.04,107.57,80.89,0.06003260329713873,0.780513734376763
tRF-35-8HM2OSRNLNKSEK,20.96,17.48,8.16,10.88,15.19,21.05,0.0,0.0,49.01,5.05,0.0,32.46,0.0,4.49,16.44,38.84,0.0,33.77,15.09,13.68,1.84,17.08,0.0,0.0,-0.31186814407787616,0.13792425863461727
tRF-35-94SX73V2Y8L981,13.97,8.74,8.16,21.77,0.0,14.04,32.21,33.41,32.67,5.05,47.1,27.82,0.0,44.87,32.88,22.19,45.04,45.03,45.27,34.21,1.84,12.81,43.03,26.96,-0.13207776426374934,0.5384164942335119
tRF-35-9EYK46S9Y81H93,88.5,200.96,183.52,272.12,78.5,133.34,120.78,105.01,735.08,156.61,433.29,134.46,161.14,98.71,337.0,171.99,649.93,585.38,233.9,410.54,62.47,179.32,279.68,208.97,-0.226853663698648,0.28642387063227315
tRF-35-9EYK46SQYU9H93,102.47,760.16,216.14,446.28,156.99,357.9,265.72,205.25,914.76,368.79,640.51,217.93,308.85,228.82,402.76,305.14,888.02,737.36,399.89,615.81,161.7,337.29,484.06,289.86,-0.23304103164026058,0.27312565531886907
tRF-35-EH623K7SIR3DR2,65.21,34.95,57.09,97.96,93.69,56.14,20.13,109.79,261.36,212.18,160.13,32.46,53.71,35.89,221.93,88.77,12.87,33.77,75.45,301.06,29.4,68.31,279.68,148.3,0.10593444531371167,0.6222555154161675
tRF-35-FSXMSL73VL4YMY,298.1,157.28,122.35,152.39,73.43,112.28,88.57,66.83,81.68,166.71,141.29,278.2,53.71,89.73,98.63,249.66,167.31,106.95,98.09,116.32,110.25,140.89,161.35,168.52,-0.0005916498458097275,0.997810816422779
tRF-35-JJ6RRNLIK898O1,18.63,17.48,4.08,0.0,15.19,7.02,12.08,14.32,0.0,5.05,28.26,4.64,13.43,8.97,16.44,33.29,25.74,22.51,0.0,34.21,0.0,4.27,10.76,33.7,-0.07128458451380057,0.740644181065544
tRF-35-KY7343RX6NMH49,16.3,8.74,44.86,10.88,22.79,35.09,40.26,23.87,0.0,30.31,56.52,0.0,13.43,49.35,41.1,11.1,45.04,45.03,15.09,41.05,9.19,38.43,32.27,0.0,-0.1519254549948607,0.47852457789884895
tRF-35-L85DMKYUYRLHR0,11.64,34.95,12.23,43.54,12.66,21.05,28.18,23.87,32.67,0.0,75.35,23.18,13.43,0.0,32.88,16.64,32.17,16.89,15.09,20.53,12.86,46.96,32.27,40.45,0.21123161064581317,0.3217755146932184
tRF-35-OR183O9EDJHP3R,6.99,8.74,20.39,0.0,25.32,7.02,20.13,33.41,49.01,0.0,18.84,4.64,26.86,31.41,24.66,5.55,38.61,22.51,15.09,0.0,12.86,25.62,0.0,0.0,-0.20847731071882736,0.32827128859488175
tRF-35-P4R8YP9LON4VN1,53.57,43.69,77.49,97.96,93.69,28.07,76.49,85.92,81.68,55.57,47.1,60.28,107.42,62.81,41.1,116.51,51.48,50.66,83.0,34.21,44.1,46.96,86.06,13.48,-0.2689808562301035,0.20374086756961235
tRF-35-PNR8YO9LON4V4R,25.62,34.95,28.55,10.88,32.92,77.19,48.31,23.87,0.0,25.26,47.1,18.55,13.43,35.89,24.66,44.38,12.87,39.4,15.09,27.37,45.94,46.96,43.03,0.0,0.1618247287501281,0.44997594457520285
tRF-35-PS5P4PW3FJHPEZ,46.58,61.16,32.63,43.54,73.43,28.07,72.47,105.01,49.01,45.47,47.1,27.82,26.86,62.81,41.1,44.38,64.35,45.03,45.27,47.9,33.07,81.12,21.51,13.48,-0.18096150359665933,0.397430319645949
tRF-35-PSQP4PW3FJI0E7,1411.33,2463.98,2385.75,3341.68,3268.94,3403.58,2045.23,2816.27,3561.04,2258.18,2910.56,1928.87,2927.31,2279.24,2769.99,4577.15,5160.81,4311.58,2927.51,3051.7,1872.38,3885.2,3937.05,1334.7,-0.09612552092242105,0.6550087502061008
tRF-35-PSQP4PW3FJIKE7,172.34,471.83,387.43,511.59,463.37,589.49,370.4,324.59,359.37,237.44,310.84,343.12,362.56,305.1,476.73,471.59,759.32,742.99,392.35,581.6,266.43,567.84,645.42,229.19,-0.010470802939418447,0.9612707381312626
tRF-35-PW5SVP9N15WV7W,104.8,270.86,126.42,87.08,293.72,210.53,140.91,310.27,245.03,116.19,405.03,111.28,402.84,121.14,205.49,244.11,180.18,185.75,173.54,61.58,95.55,187.86,430.28,80.89,0.024690954552768325,0.9088254098555727
tRF-35-Q1Q89P9L8422YR,111.79,174.75,175.36,87.08,134.2,161.41,189.22,85.92,81.68,75.78,131.87,41.73,80.57,170.49,82.2,122.06,167.31,180.12,226.35,123.16,139.65,162.24,172.11,94.37,0.11118218142094283,0.6050091801808759
tRF-35-QKF1R3WE8RO86J,23.29,43.69,40.78,32.65,27.85,63.16,64.42,28.64,81.68,65.67,65.94,18.55,67.14,17.95,73.98,66.58,38.61,50.66,60.36,75.27,12.86,17.08,86.06,6.74,-0.3157969245065123,0.1327698004214659
tRF-35-RP9830MMUKLY5Z,11.64,34.95,44.86,32.65,169.65,56.14,80.52,66.83,49.01,111.14,37.68,23.18,94.0,62.81,73.98,66.58,64.35,45.03,52.82,47.9,51.45,17.08,75.3,26.96,-0.1403453712946242,0.5130507836832368
tRF-35-RPM8309MUKLY5Z,23.29,26.21,36.7,43.54,35.45,0.0,12.08,42.96,0.0,25.26,0.0,9.27,53.71,17.95,49.32,55.48,70.78,22.51,22.64,6.84,23.89,29.89,32.27,0.0,-0.12816010286878013,0.5506367760938792
tRF-35-RPM830MMUKLY5Z,51.24,113.59,89.72,163.27,164.59,63.16,64.42,152.75,98.01,80.83,28.26,18.55,322.27,134.6,147.95,105.41,96.52,95.69,143.36,88.95,66.15,93.93,129.08,67.41,-0.12418582477330797,0.5631617783958216
tRF-35-SP5830MMUKLYM9,107.13,122.33,101.96,108.85,136.73,154.39,148.96,90.69,147.02,136.4,131.87,129.83,134.28,89.73,65.76,77.67,244.53,225.15,52.82,109.48,112.09,200.66,182.87,26.96,0.03750389738835653,0.8618785541663386
tRF-35-XSXMSL73VL4YMY,1434.62,961.13,640.28,761.95,301.32,617.56,656.24,692.13,784.08,793.14,941.93,1613.58,469.98,717.87,723.32,1420.3,598.45,619.16,995.96,663.71,626.58,640.42,473.31,1247.07,-0.13640217084017126,0.5250762238914969
tRF-36-2VR008R959KUMKB,132.75,445.61,101.96,185.04,101.28,266.67,205.33,262.53,310.37,222.28,320.26,171.56,120.85,103.19,263.03,410.56,707.84,568.5,437.62,102.64,99.22,315.94,333.47,222.45,-0.0994137856065689,0.643956061156397
tRF-36-2VR008R9D9KUMKB,6.99,52.43,4.08,0.0,15.19,35.09,36.23,9.55,0.0,15.16,28.26,9.27,0.0,31.41,49.32,27.74,64.35,50.66,30.18,6.84,11.02,17.08,0.0,26.96,-0.19394677010927056,0.3638337994727817
tRF-36-3IRW18V6XO59KND,41.92,192.23,40.78,152.39,20.26,84.21,36.23,47.73,114.35,75.78,65.94,74.19,107.42,67.3,115.07,94.32,102.96,140.72,67.91,68.42,23.89,64.04,118.33,40.45,-0.26748283416066365,0.20636785557492562
tRF-36-6SXMSL73VL4YMYE,4487.85,6439.55,4143.45,4604.33,3724.72,2947.43,4122.67,7389.13,4214.45,2914.92,5142.94,3454.35,3947.85,4136.74,4126.22,3195.69,4896.98,3410.99,4723.25,3229.6,3017.12,6250.48,3549.8,2184.05,-0.14742560890476625,0.49179885362713205
tRF-36-86J8WPMN1E8Y7ZD,950.2,952.39,1521.17,892.57,1359.74,1586.0,1868.08,930.8,963.77,1586.28,1007.87,533.22,1691.93,1709.43,1060.32,660.22,1383.51,1255.2,1177.04,1649.01,948.13,1451.61,1624.3,458.38,-0.07593937658859091,0.7243319299481574
tRF-36-86V8WPMN1E8Y7ZD,507.71,681.53,815.64,663.98,607.7,814.05,1292.36,520.29,522.72,661.79,640.51,217.93,1033.96,910.8,747.98,210.83,746.45,686.7,452.71,793.72,608.2,806.93,505.58,175.26,-0.19018939399332635,0.373380629914292
tRF-36-87R8WP9I1EWJQZD,109.46,209.7,57.09,163.27,162.05,105.27,88.57,210.03,49.01,60.62,56.52,143.74,94.0,80.76,73.98,94.32,83.65,95.69,60.36,116.32,90.04,85.39,129.08,40.45,-0.11118538964059155,0.6049986977822874
tRF-36-87R8WP9N1EWJQ7D,28727.33,58235.55,56560.61,41809.08,47775.68,53411.65,65978.75,35527.96,61321.83,57202.18,57448.31,16520.61,69154.44,69279.12,42133.47,25976.04,72676.03,64820.08,37038.99,71160.74,56559.12,74583.09,72695.59,13670.56,0.0533545626089067,0.8044397471567488
tRF-36-897PVP941QKS3WD,128.09,148.54,248.77,130.62,227.89,133.34,144.94,176.61,147.02,181.87,178.97,83.46,241.7,323.04,90.42,116.51,405.4,298.32,75.45,218.96,159.86,290.32,354.98,40.45,0.09717904790406065,0.6514597809161258
tRF-36-897PVP9N1QKS3WD,53.57,69.9,77.49,76.19,75.96,77.19,36.23,47.73,32.67,45.47,18.84,9.27,80.57,170.49,73.98,11.1,102.96,84.43,60.36,102.64,58.8,46.96,53.78,6.74,-0.25509206862372047,0.2289742134703155
tRF-36-8HM2OSRN2NKSEK0,23.29,43.69,4.08,10.88,10.13,0.0,20.13,9.55,16.34,0.0,65.94,83.46,0.0,4.49,24.66,44.38,38.61,0.0,15.09,13.68,5.51,4.27,0.0,6.74,-0.3329065815175324,0.11193298252137615
tRF-36-8HM2OSRNLNKSEK0,100.14,122.33,24.47,65.31,45.58,56.14,0.0,23.87,65.34,50.52,178.97,222.56,40.28,17.95,57.54,266.31,77.22,39.4,52.82,130.01,29.4,29.89,10.76,33.7,-0.3609025576715383,0.08316434920988908
tRF-36-9EYK46S9Y81H93E,4.66,34.95,20.39,54.42,12.66,28.07,24.16,9.55,114.35,55.57,113.03,13.91,40.28,35.89,82.2,27.74,70.78,163.23,15.09,123.16,20.21,29.89,43.03,53.93,-0.19541072372967336,0.360152950488018
tRF-36-9EYK46SQYU9H93E,2.33,52.43,20.39,97.96,12.66,28.07,36.23,23.87,65.34,50.52,56.52,27.82,13.43,13.46,32.88,33.29,160.87,129.46,30.18,130.01,16.54,8.54,43.03,33.7,-0.27672643828849997,0.1905192219727913
tRF-36-9LON4VN1EH6KK80,46.58,122.33,36.7,174.16,30.39,98.25,84.55,14.32,163.35,30.31,207.22,64.91,94.0,62.81,82.2,144.25,141.57,129.46,113.18,150.53,31.24,51.23,139.84,67.41,-0.246668161449964,0.24524495601106122
tRF-36-EH623K7SIR3DR20,46.58,34.95,36.7,65.31,48.11,63.16,28.18,47.73,49.01,116.19,47.1,23.18,53.71,44.87,106.85,33.29,32.17,73.17,67.91,157.37,27.56,29.89,139.84,80.89,0.09061170709091235,0.6736998223277251
tRF-36-FSXMSL73VL4YMYE,41.92,43.69,57.09,65.31,50.64,70.18,48.31,85.92,49.01,15.16,47.1,27.82,53.71,31.41,73.98,27.74,77.22,22.51,98.09,54.74,33.07,68.31,21.51,13.48,-0.2673205664890808,0.20665378039652554
tRF-36-J9ZH0SR9593KMHD,9.32,26.21,16.31,43.54,20.26,63.16,44.29,33.41,81.68,55.57,150.71,23.18,53.71,22.43,98.63,66.58,102.96,123.83,37.73,54.74,18.37,34.16,43.03,26.96,-0.2966603690515033,0.1592281929634002
tRF-36-JJ6RRNLIK898O1B,6.99,52.43,16.31,32.65,20.26,42.11,12.08,14.32,16.34,25.26,56.52,18.55,0.0,49.35,8.22,11.1,90.09,50.66,15.09,34.21,14.7,17.08,53.78,0.0,-0.14911498522515493,0.4867938667383406
tRF-36-KKM1M3WD8S746DD,0.0,34.95,4.08,0.0,10.13,14.04,12.08,28.64,0.0,10.1,18.84,18.55,13.43,0.0,32.88,22.19,0.0,5.63,7.55,27.37,3.67,4.27,32.27,6.74,-0.019450821027234083,0.9281199468920395
tRF-36-L85DMKYUYRLHR0D,37.26,78.64,48.94,43.54,45.58,154.39,28.18,81.15,245.03,65.67,94.19,92.73,80.57,76.27,90.42,66.58,109.39,95.69,83.0,88.95,23.89,46.96,225.9,47.19,-0.006494145087354186,0.9759741440257035
tRF-36-M2OSRNLNKSEK51B,6.99,8.74,4.08,32.65,2.53,42.11,12.08,28.64,16.34,20.21,47.1,9.27,13.43,22.43,16.44,16.64,19.3,33.77,30.18,6.84,11.02,8.54,10.76,6.74,-0.30890513078010656,0.1419053853752255
tRF-36-N2ZPQR16ZSIJ7KE,13.97,8.74,4.08,32.65,0.0,7.02,24.16,9.55,0.0,5.05,0.0,18.55,13.43,17.95,32.88,11.1,12.87,33.77,0.0,41.05,1.84,4.27,43.03,6.74,-0.027307092709905167,0.8992106253162553
tRF-36-N2ZPQR17NS5J7KE,4.66,26.21,0.0,21.77,5.06,21.05,16.1,9.55,0.0,15.16,28.26,0.0,13.43,0.0,0.0,11.1,51.48,16.89,45.27,20.53,5.51,0.0,0.0,6.74,-0.34610451473831816,0.09757952342904846
tRF-36-OUR8309NDJ58EVE,9.32,69.9,20.39,10.88,50.64,28.07,28.18,62.05,65.34,15.16,28.26,9.27,67.14,49.35,32.88,49.93,32.17,39.4,83.0,20.53,23.89,29.89,118.33,20.22,0.147587070941386,0.4913193952970968
tRF-36-PS5P4PW3FJHPEZE,20.96,0.0,48.94,32.65,83.56,49.12,52.34,62.05,32.67,15.16,113.03,18.55,147.71,26.92,41.1,116.51,96.52,33.77,22.64,123.16,16.54,38.43,64.54,6.74,-0.22039267158053816,0.3007364824646518
tRF-36-PSQP4PW3FJI0E7E,121.1,314.55,301.79,751.06,455.78,596.5,229.48,267.31,441.05,217.23,489.8,162.28,322.27,201.9,435.64,832.21,398.97,467.18,301.8,444.75,203.96,486.72,613.15,168.52,-0.0361512646101799,0.8668160072993116
tRF-36-PSQP4PW3FJIKE7E,53.57,113.59,85.64,250.35,146.86,140.35,120.78,95.47,147.02,90.93,169.55,60.28,201.42,85.25,164.39,366.17,193.05,174.49,135.81,212.11,55.12,145.16,258.17,80.89,-0.09290508890374988,0.6659020241259384
tRF-36-PW5SVP9N15WV7W0,9.32,0.0,0.0,21.77,7.6,42.11,4.03,38.19,32.67,10.1,47.1,4.64,13.43,4.49,32.88,22.19,25.74,33.77,7.55,13.68,3.67,8.54,43.03,6.74,-0.05717632987816266,0.7907248568866948
tRF-36-QKF1R3WE8RO86JD,25.62,0.0,16.31,21.77,15.19,35.09,32.21,42.96,32.67,30.31,37.68,37.09,13.43,26.92,32.88,44.38,38.61,22.51,30.18,0.0,14.7,21.35,10.76,6.74,-0.3696183396858677,0.07546079449903487
tRF-36-R9J89O9NF5W8E70,16.3,34.95,32.63,97.96,17.72,70.18,24.16,52.51,98.01,45.47,47.1,0.0,26.86,40.38,8.22,38.84,109.39,56.29,45.27,13.68,11.02,29.89,129.08,6.74,-0.00582426295097449,0.9784518593722611
tRF-36-UD10H7RNLEKPM4D,27.95,8.74,40.78,76.19,10.13,70.18,56.36,52.51,130.68,10.1,141.29,55.64,40.28,44.87,90.42,99.87,90.09,73.17,98.09,68.42,11.02,38.43,64.54,53.93,-0.2641937864035519,0.21221561101664227
tRF-36-V47PU9XW983FPDD,9.32,26.21,4.08,21.77,12.66,35.09,16.1,9.55,81.68,5.05,37.68,37.09,13.43,8.97,32.88,0.0,38.61,33.77,15.09,47.9,20.21,8.54,0.0,26.96,-0.23938635103271555,0.2599027592154156
tRF-36-V81H93WB86N7O5D,4.66,8.74,24.47,43.54,7.6,14.04,4.03,14.32,32.67,15.16,9.42,13.91,40.28,17.95,8.22,33.29,32.17,16.89,15.09,20.53,12.86,8.54,32.27,0.0,-0.21500052043756987,0.31301432204791596
tRF-36-XSXMSL73VL4YMYE,253.85,384.45,252.85,174.16,265.87,252.64,334.16,396.19,114.35,171.76,235.48,273.57,120.85,269.2,205.49,210.83,238.09,197.0,309.35,260.01,134.14,324.48,172.11,114.6,-0.2348715380908037,0.2692680078968289
