Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-22-HEPURYX35,4.66,26.21,4.08,54.42,2.53,28.07,0.0,14.32,16.34,5.05,9.42,23.18,26.86,13.46,32.88,0.0,32.17,33.77,7.55,6.84,0.0,8.54,10.76,6.74,-0.3134688759569243,0.1358071137085628
tRF-22-I7XUK87SI,4.66,8.74,0.0,43.54,5.06,63.16,4.03,0.0,16.34,10.1,18.84,27.82,13.43,4.49,16.44,11.1,77.22,45.03,60.36,13.68,1.84,25.62,21.51,6.74,-0.16305358736007594,0.4464958942685895
tRF-22-J9ZH0SR9L,30.28,139.8,44.86,163.27,32.92,63.16,52.34,42.96,65.34,55.57,244.9,37.09,107.42,22.43,82.2,99.87,212.35,230.78,143.36,41.05,34.91,34.16,129.08,60.67,-0.2243993893780385,0.29180938454069905
tRF-22-JOWU1MN0Q,9.32,34.95,12.23,0.0,5.06,35.09,20.13,19.09,0.0,10.1,0.0,23.18,13.43,8.97,24.66,44.38,38.61,5.63,22.64,20.53,11.02,12.81,64.54,13.48,0.2087842276860618,0.3275435642702542
tRF-22-MN1E8Y7Z2,4.66,34.95,4.08,0.0,5.06,7.02,20.13,9.55,0.0,0.0,18.84,27.82,13.43,0.0,16.44,11.1,12.87,39.4,22.64,41.05,0.0,0.0,0.0,13.48,-0.34870798887997234,0.09491763422852029
tRF-22-NB8PLML35,34.93,78.64,20.39,54.42,37.98,28.07,48.31,33.41,130.68,15.16,84.77,18.55,94.0,40.38,57.54,61.03,51.48,67.54,98.09,34.21,16.54,38.43,32.27,94.37,-0.14819960520245795,0.48950261171679177
tRF-22-NMEH623KN,37.26,87.38,12.23,65.31,7.6,28.07,44.29,42.96,65.34,15.16,37.68,51.0,26.86,13.46,57.54,99.87,96.52,39.4,37.73,27.37,20.21,29.89,64.54,53.93,-0.07079011455225286,0.7423835289674026
tRF-22-NRDF7UK8N,13.97,61.16,24.47,97.96,10.13,42.11,64.42,33.41,49.01,15.16,56.52,37.09,13.43,31.41,57.54,22.19,64.35,78.8,22.64,61.58,18.37,17.08,32.27,67.41,-0.16290000732067034,0.44693004263820985
tRF-22-PS5P4PW3H,34.93,34.95,44.86,65.31,212.7,28.07,52.34,33.41,114.35,50.52,47.1,27.82,161.14,26.92,16.44,83.22,90.09,61.92,52.82,75.27,23.89,29.89,21.51,87.63,-0.1772692887552626,0.407290549628066
tRF-22-R29P4P9LL,4.66,61.16,4.08,0.0,48.11,35.09,36.23,66.83,98.01,20.21,94.19,4.64,40.28,17.95,24.66,38.84,96.52,28.14,7.55,6.84,5.51,38.43,64.54,40.45,0.02609632241373397,0.9036587978488445
